Rank,Player Name,Team,Position,Min,Max,STD Dev
1,Saquon Barkley,NYG,RB,1,3,0.75,
2,Alvin Kamara,NO,RB,1,4,1.02,
3,Christian McCaffrey,CAR,RB,1,4,1.02,
4,Nick Chubb,CLE,RB,1,8,2.28,
5,Ezekiel Elliott,DAL,RB,3,12,3.26,
6,David Johnson,ARI,RB,5,9,1.67,
7,DeAndre Hopkins,HOU,WR,4,16,4.31,
8,Davante Adams,GB,WR,6,19,4.92,
9,James Conner,PIT,RB,8,17,3.06,
10,Julio Jones,ATL,WR,8,15,2.68,
11,Le'Veon Bell,NYJ,RB,8,23,5.61,
12,Odell Beckham Jr.,CLE,WR,10,18,2.71,
13,Michael Thomas,NO,WR,10,20,3.31,
14,JuJu Smith-Schuster,PIT,WR,7,20,4.31,
15,Dalvin Cook,MIN,RB,10,22,4.26,
16,Travis Kelce,KC,TE,13,16,1.47,
17,Tyreek Hill,KC,WR,14,20,2.33,
18,Joe Mixon,CIN,RB,11,31,6.97,
19,George Kittle,SF,TE,18,21,1.36,
20,Mike Evans,TB,WR,17,26,3.97,
21,Marlon Mack,IND,RB,19,43,8.98,
22,Kerryon Johnson,DET,RB,12,42,10.05,
23,Damien Williams,KC,RB,7,40,10.97,
24,Keenan Allen,LAC,WR,25,33,2.99,
25,Devonta Freeman,ATL,RB,11,47,11.46,
26,T.Y. Hilton,IND,WR,25,34,2.93,
27,Aaron Jones,GB,RB,9,44,12.83,
28,Zach Ertz,PHI,TE,22,58,14.31,
29,Derrick Henry,TEN,RB,14,44,10.23,
30,Antonio Brown,OAK,WR,24,35,4.17,
31,Amari Cooper,DAL,WR,26,36,3.38,
32,Stefon Diggs,MIN,WR,30,36,2.33,
33,Chris Godwin,TB,WR,26,38,4.72,
34,Adam Thielen,MIN,WR,29,39,3.50,
35,Todd Gurley,LAR,RB,21,51,10.89,
36,Robert Woods,LAR,WR,30,46,5.11,
37,Brandin Cooks,LAR,WR,32,49,6.88,
38,Patrick Mahomes,KC,QB,21,51,10.80,
39,Leonard Fournette,JAC,RB,31,59,9.60,
40,David Montgomery,CHI,RB,19,83,22.41,
41,Julian Edelman,NE,WR,34,72,14.50,
42,Melvin Gordon,LAC,RB,33,49,5.64,
43,Josh Jacobs,OAK,RB,32,54,7.55,
44,Deshaun Watson,HOU,QB,21,53,12.27,
45,Mark Ingram,BAL,RB,24,56,11.98,
46,Chris Carson,SEA,RB,41,55,5.64,
47,Kenny Golladay,DET,WR,41,64,8.42,
48,Tyler Lockett,SEA,WR,37,60,8.59,
49,Allen Robinson,CHI,WR,40,62,7.32,
50,Tyler Boyd,CIN,WR,35,74,14.99,
51,O.J. Howard,TB,TE,38,64,9.00,
52,Calvin Ridley,ATL,WR,38,65,10.21,
53,Cooper Kupp,LAR,WR,43,63,7.52,
54,Mike Williams,LAC,WR,39,65,10.25,
55,Robby Anderson,NYJ,WR,38,66,9.94,
56,Tevin Coleman,SF,RB,37,79,13.37,
57,Sony Michel,NE,RB,40,75,12.18,
58,Aaron Rodgers,GB,QB,54,61,2.79,
59,D.J. Moore,CAR,WR,37,75,12.66,
60,Baker Mayfield,CLE,QB,53,70,6.15,
61,Miles Sanders,PHI,RB,47,75,10.91,
62,Alshon Jeffery,PHI,WR,55,66,3.63,
63,Matt Ryan,ATL,QB,53,76,8.69,
64,Evan Engram,NYG,TE,52,73,6.68,
65,Christian Kirk,ARI,WR,55,84,10.58,
66,Hunter Henry,LAC,TE,65,69,1.47,
67,Josh Gordon,NE,WR,41,80,13.88,
68,Andrew Luck,IND,QB,49,91,14.66,
69,Curtis Samuel,CAR,WR,63,78,5.24,
70,Will Fuller,HOU,WR,47,91,17.65,
71,James White,NE,RB,52,112,21.13,
72,Cam Newton,CAR,QB,69,95,10.26,
73,Phillip Lindsay,DEN,RB,57,106,17.18,
74,Dede Westbrook,JAC,WR,56,96,14.27,
75,Carson Wentz,PHI,QB,67,89,8.75,
76,Jared Cook,NO,TE,62,105,15.58,
77,Jarvis Landry,CLE,WR,47,110,21.34,
78,Russell Wilson,SEA,QB,58,93,12.82,
79,Kyler Murray,ARI,QB,67,104,13.72,
80,Eric Ebron,IND,TE,71,114,15.86,
81,Corey Davis,TEN,WR,73,94,7.56,
82,Lamar Jackson,BAL,QB,59,108,17.14,
83,A.J. Green,CIN,WR,72,105,12.88,
84,Latavius Murray,NO,RB,75,102,10.94,
85,Royce Freeman,DEN,RB,81,109,10.38,
86,Kenyan Drake,MIA,RB,77,103,10.89,
87,Vance McDonald,PIT,TE,72,104,10.80,
88,Jameis Winston,TB,QB,82,108,9.67,
89,Drew Brees,NO,QB,67,116,18.61,
90,Austin Hooper,ATL,TE,77,116,13.78,
91,Sterling Shepard,NYG,WR,80,124,15.27,
92,Larry Fitzgerald,ARI,WR,69,120,19.05,
93,David Njoku,CLE,TE,83,116,11.98,
94,Rashaad Penny,SEA,RB,71,124,18.14,
95,Sammy Watkins,KC,WR,81,130,18.69,
96,Marvin Jones,DET,WR,78,117,15.28,
97,Darrell Henderson,LAR,RB,51,126,27.37,
98,Mark Andrews,BAL,TE,77,133,19.75,
99,Dak Prescott,DAL,QB,94,113,6.60,
100,Donte Moncrief,PIT,WR,81,127,17.94,
101,Marquez Valdes-Scantling,GB,WR,79,136,20.02,
102,Keke Coutee,HOU,WR,94,137,15.98,
103,Philip Rivers,LAC,QB,97,115,7.00,
104,Tarik Cohen,CHI,RB,65,86,7.58,
105,Jared Goff,LAR,QB,99,126,10.05,
106,Ben Roethlisberger,PIT,QB,90,123,11.19,
107,Dante Pettis,SF,WR,80,144,21.33,
108,Geronimo Allison,GB,WR,83,165,28.65,
109,Lamar Miller,HOU,RB,70,99,11.25,
110,Duke Johnson,HOU,RB,98,129,11.41,
111,Anthony Miller,CHI,WR,89,151,21.48,
112,Courtland Sutton,DEN,WR,95,129,11.75,
113,DeSean Jackson,PHI,WR,90,154,24.45,
114,Trey Burton,CHI,TE,116,122,1.94,
115,Jamison Crowder,NYJ,WR,97,142,18.52,
116,Kyle Rudolph,MIN,TE,113,128,5.64,
117,Devin Funchess,IND,WR,96,141,15.34,
118,Mitch Trubisky,CHI,QB,114,136,8.00,
119,Austin Ekeler,LAC,RB,87,121,13.70,
120,Jimmy Garoppolo,SF,QB,85,157,28.69,
121,Michael Gallup,DAL,WR,111,156,17.49,
122,Matt Breida,SF,RB,75,127,19.38,
123,Josh Allen,BUF,QB,97,159,22.93,
124,Chicago Bears,CHI,DST,121,138,6.59,
125,Delanie Walker,TEN,TE,94,119,9.07,
126,Derrius Guice,WAS,RB,84,128,15.71,
127,Tom Brady,NE,QB,114,153,12.54,
128,Kirk Cousins,MIN,QB,106,151,15.69,
129,Devin Singletary,BUF,RB,124,144,7.30,
130,Emmanuel Sanders,DEN,WR,105,173,27.32,
131,DaeSean Hamilton,DEN,WR,110,157,17.54,
132,Jacksonville Jaguars,JAC,DST,127,159,10.48,
133,Jordan Howard,PHI,RB,93,165,28.80,
134,Sam Darnold,NYJ,QB,133,155,7.57,
135,Los Angeles Rams,LAR,DST,125,156,12.83,
136,Tyrell Williams,OAK,WR,106,200,33.33,
137,Kalen Ballage,MIA,RB,98,173,27.85,
138,Jordan Reed,WAS,TE,104,158,19.62,
139,Dion Lewis,TEN,RB,103,171,25.99,
140,Minnesota Vikings,MIN,DST,141,163,8.98,
141,Peyton Barber,TB,RB,111,159,19.96,
142,Marquise Goodwin,SF,WR,133,177,16.27,
143,Matthew Stafford,DET,QB,139,166,10.26,
144,John Brown,BUF,WR,119,175,20.25,
145,Jaylen Samuels,PIT,RB,115,163,17.99,
146,Los Angeles Chargers,LAC,DST,133,170,13.76,
147,Cleveland Browns,CLE,DST,143,174,11.31,
148,Derek Carr,OAK,QB,146,168,7.44,
149,Greg Zuerlein,LAR,K,147,167,7.60,
150,Baltimore Ravens,BAL,DST,140,182,14.58,
151,T.J. Hockenson,DET,TE,127,160,12.83,
152,Jack Doyle,IND,TE,131,155,9.34,
153,Houston Texans,HOU,DST,147,177,12.18,
154,Greg Olsen,CAR,TE,135,158,9.23,
155,LeSean McCoy,BUF,RB,109,134,11.79,
156,Harrison Butker,KC,K,152,177,9.58,
157,Adrian Peterson,WAS,RB,103,138,14.34,
158,Golden Tate,NYG,WR,136,169,12.93,
159,Nyheim Hines,IND,RB,111,140,12.83,
160,Justin Tucker,BAL,K,141,189,16.08,
161,Andy Dalton,CIN,QB,152,184,13.78,
162,Ronald Jones II,TB,RB,102,162,24.78,
163,Chris Herndon IV,NYJ,TE,128,222,38.54,
164,Dallas Goedert,PHI,TE,137,188,19.27,
165,Kenny Stills,MIA,WR,145,185,15.19,
166,Stephen Gostkowski,NE,K,149,195,15.13,
167,Jimmy Graham,GB,TE,130,145,6.24,
168,Deebo Samuel,SF,WR,131,193,23.26,
169,Ka'imi Fairbairn,HOU,K,158,194,13.42,
170,N'Keal Harry,NE,WR,143,190,21.20,
171,Tre'Quan Smith,NO,WR,150,196,15.99,
172,Chris Thompson,WAS,RB,130,208,27.74,
173,Wil Lutz,NO,K,156,203,18.81,
174,Justin Jackson,LAC,RB,118,168,21.60,
175,Justice Hill,BAL,RB,138,164,10.87,
176,Nick Foles,JAC,QB,142,220,27.77,
177,Darwin Thompson,KC,RB,151,153,0.94,
178,Zay Jones,BUF,WR,122,191,28.78,
179,Denver Broncos,DEN,DST,177,194,6.89,
180,Damien Harris,NE,RB,117,207,38.31,
181,Adam Humphries,TEN,WR,126,198,28.62,
182,Jamaal Williams,GB,RB,132,171,17.52,
183,Mohamed Sanu,ATL,WR,169,195,10.23,
184,James Washington,PIT,WR,170,187,6.34,
185,Ito Smith,ATL,RB,107,150,21.50,
186,Dallas Cowboys,DAL,DST,182,204,7.05,
187,Noah Fant,DEN,TE,125,214,36.89,
188,Joe Flacco,DEN,QB,160,228,25.39,
189,New Orleans Saints,NO,DST,179,187,3.00,
190,Quincy Enunwa,NYJ,WR,134,185,23.81,
191,Robbie Gould,SF,K,157,212,19.38,
192,Philadelphia Eagles,PHI,DST,167,216,16.76,
193,Mason Crosby,GB,K,165,221,17.98,
194,New England Patriots,NE,DST,176,213,11.94,
195,Buffalo Bills,BUF,DST,176,197,7.43,
196,Michael Badgley,LAC,K,160,210,18.88,
197,Brett Maher,DAL,K,163,223,19.57,
198,Parris Campbell,IND,WR,142,200,24.46,
199,Ted Ginn,NO,WR,144,150,3.00,
200,Jake Elliott,PHI,K,159,217,21.26,
201,D.K. Metcalf,SEA,WR,152,196,19.14,
202,Marcus Mariota,TEN,QB,172,222,21.14,
203,Tony Pollard,DAL,RB,166,223,23.12,
204,Giovani Bernard,CIN,RB,152,159,3.50,
205,Devante Parker,MIA,WR,140,226,35.11,
206,Matt Prater,DET,K,175,232,18.73,
207,Carlos Hyde,KC,RB,128,191,31.50,
208,Seattle Seahawks,SEA,DST,181,227,15.78,
209,Giorgio Tavecchio,ATL,K,161,206,20.14,
210,Mike Davis,CHI,RB,166,169,1.50,
211,Kareem Hunt,CLE,RB,162,175,6.50,
212,Adam Vinatieri,IND,K,171,225,19.20,
213,Rashard Higgins,CLE,WR,168,210,17.66,
214,Darren Waller,OAK,TE,120,223,51.50,
215,Gerald Everett,LAR,TE,123,221,49.00,
216,Taylor Gabriel,CHI,WR,179,212,13.93,
217,Mike Gesicki,MIA,TE,169,178,4.50,
218,C.J. Anderson,DET,RB,172,180,4.00,
219,Jason Myers,SEA,K,168,220,21.82,
220,Malcolm Brown,LAR,RB,149,211,31.00,
221,Albert Wilson,MIA,WR,175,191,8.00,
222,Kansas City Chiefs,KC,DST,202,216,5.17,
223,Aldrick Rosas,NYG,K,172,232,22.38,
224,Tennessee Titans,TEN,DST,202,218,7.07,
225,Indianapolis Colts,IND,DST,186,230,15.75,
226,Graham Gano,CAR,K,178,219,18.08,
227,Mecole Hardman,KC,WR,186,192,3.00,
228,Dwayne Haskins,WAS,QB,166,228,27.72,
229,Jalen Hurd,SF,WR,184,200,8.00,
230,Jordan Thomas,HOU,TE,151,151,0.00,
231,Tyler Eifert,CIN,TE,180,206,13.00,
232,Robert Foster,BUF,WR,189,197,4.00,
233,Ryan Fitzpatrick,MIA,QB,187,231,17.48,
234,David Moore,SEA,WR,157,157,0.00,
235,Dan Bailey,MIN,K,170,229,27.35,
236,Andy Isabella,ARI,WR,189,204,7.50,
237,Chris Boswell,PIT,K,180,234,20.95,
238,Rex Burkhead,NE,RB,170,225,27.50,
239,Randall Cobb,DAL,WR,190,205,7.50,
240,Pittsburgh Steelers,PIT,DST,208,227,7.91,
241,Nelson Agholor,PHI,WR,166,166,0.00,
242,A.J. Brown,TEN,WR,198,202,2.00,
243,Ty Montgomery,NYJ,RB,167,167,0.00,
244,Will Dissly,SEA,TE,167,167,0.00,
245,Jerick McKinnon,SF,RB,174,174,0.00,
246,Danny Amendola,DET,WR,176,176,0.00,
247,Ian Thomas,CAR,TE,176,176,0.00,
248,Elijah McGuire,NYJ,RB,178,178,0.00,
249,Carolina Panthers,CAR,DST,203,224,8.96,
250,Marquise Brown,BAL,WR,200,214,7.00,
251,Josh Rosen,MIA,QB,181,181,0.00,
252,Miles Boykin,BAL,WR,181,181,0.00,
253,Marqise Lee,JAC,WR,182,182,0.00,
254,Antonio Callaway,CLE,WR,189,189,0.00,
255,Chase Edmonds,ARI,RB,203,224,10.50,
256,Trey Quinn,WAS,WR,194,194,0.00,
257,D.J. Chark,JAC,WR,194,194,0.00,
258,Ricky Seals-Jones,ARI,TE,195,195,0.00,
259,Eli Manning,NYG,QB,217,233,5.67,
260,Josh Doctson,WAS,WR,202,202,0.00,
261,Ryan Succop,TEN,K,220,230,4.11,
262,Equanimeous St. Brown,GB,WR,207,207,0.00,
263,Josh Reynolds,LAR,WR,208,208,0.00,
264,Josh Lambo,JAC,K,218,224,3.00,
265,Kenneth Dixon,BAL,RB,209,209,0.00,
266,Frank Gore,BUF,RB,210,210,0.00,
267,John Ross,CIN,WR,211,211,0.00,
268,Diontae Johnson,PIT,WR,213,213,0.00,
269,KeeSean Johnson,ARI,WR,215,215,0.00,
270,Cairo Santos,TB,K,221,228,3.50,
271,Cameron Brate,TB,TE,217,217,0.00,
272,Brandon McManus,DEN,K,223,231,4.00,
273,Greg Joseph,CLE,K,225,229,2.00,
274,Steven Hauschka,BUF,K,226,229,1.50,
275,New York Jets,NYJ,DST,222,222,0.00,
276,Matt Bryant,FA,K,227,227,0.00,
277,Case Keenum,WAS,QB,230,238,3.40,
278,Atlanta Falcons,ATL,DST,231,231,0.00,
279,Ryan Tannehill,TEN,QB,233,233,0.00,
280,Green Bay Packers,GB,DST,235,235,0.00,
281,Arizona Cardinals,ARI,DST,236,236,0.00,
282,Detroit Lions,DET,DST,237,237,0.00,
